Município;Pop_Menos_15Anos_2014;Pop_com_60Anoso_2014;Habitantes;area;taxa_natalidade;Esgoto_2010;Empregos_formais_2013;PIB
Atibaia;20,33;13,69;126467;478,52;15,57;56,82;39206;3565,61
Hortolândia;20,96;8,87;192317;62,28;14,56;36,90;45912;6761,01
Caraguatatuba;21,70;12,42;100634;485,10;14,81;57,94;22322;1577,19
Santa Bárbara dOeste;18,05;12,71;179924;270,90;12,12;98,58;47595;4056,98
Cotia;22,80;9,26;200647;324,01;18,40;52,94;76692;7463,86
Jacareí;20,72;12,69;211040;464,27;14,65;91,60;46627;5751,86
Pindamonhangaba;20,87;11,82;146807;729,89;14,59;95,91;34051;3971,92
Itanhaém;22,68;15,82;86919;601,67;15,82;24,40;14766;1139,29
Catanduva;16,92;16,34;112760;290,60;11,88;98,56;40126;2794,15
Paulínia;21,09;9,69;81825;138,72;15,18;90,26;43256;9749,77
Americana;17,22;14,22;210387;133,93;12,14;98,37;82334;7131,53
Araras;17,98;13,79;118713;644,83;12,26;99,79;38735;2987,20
Itapeva;23,21;11,43;87711;1826,26;16,82;93,30;19846;1415,54
Itapetininga;21,32;12,24;144209;1790,21;14,47;95,22;35682;2855,59
Francisco Morato;25,21;7,97;154287;49,07;18,37;50,01;9289;1143,64
Cubatão;22,40;9,34;118629;142,88;15,53;54,09;40928;6348,15
São Caetano do Sul;14,80;20,39;149185;15,33;11,46;99,85;113079;12620,62
Cruzeiro;20,18;13,96;77009;305,70;13,05;97,05;18569;1301,92
Ourinhos;19,87;14,64;102955;296,27;13,25;98,57;27843;2659,19
Jaú;18,82;13,91;130870;685,76;11,61;99,32;39990;2486,94
Jaboticabal;18,16;15,17;71625;706,60;11,30;99,38;23224;1927,34
Fernandópolis;16,41;17,63;64670;550,03;11,89;98,75;17113;1304,76
Poá;22,31;10,31;105924;17,26;16,82;94,54;33916;3061,42
Bragança Paulista;18,96;13,69;146548;512,62;13,40;81,24;42578;3219,13
Amparo;17,26;15,64;65782;445,55;12,44;89,47;25587;2332,51
Votuporanga;16,39;16,07;84612;421,03;12,14;98,95;25048;1590,51
São João da Boa Vista;17,17;16,23;83585;516,42;11,37;97,59;25138;2187,85
Leme;20,70;12,12;91658;402,87;13,13;99,28;23741;1736,04
Caieiras;18,34;15,45;86389;549,89;14,40;94,16;23586;2294,00
Santana de Parnaíba;22,25;9,20;108474;179,93;17,31;42,60;63476;4973,57
Embu-Guaçu;22,69;10,90;62718;155,63;16,03;41,79;8350;740,96
Ferraz de Vasconcelos;23,34;8,39;168072;29,57;16,46;85,92;21876;1929,25
Barra do Turvo;25,66;15,05;7732;1007,82;11,97;76,58;692;59,54
Lorena;20,66;13,97;82498;414,16;14,30;97,98;16776;1473,43
São Roque;19,05;13,87;78711;306,91;11,93;60,41;20085;1713,58
Assis;17,97;15,42;95075;460,31;12,64;98,52;23781;1759,97
Eldorado;25,88;13,24;14637;1654,26;15,66;90,51;2115;190,56
Salto;19,39;11,94;105407;133,21;14,51;94,97;30224;2811,01
Registro;22,33;13,31;54257;722,41;16,47;84,52;13495;1127,56
Piedade;20,36;13,89;52126;746,87;12,83;68,96;8096;741,34
Mogi Mirim;18,15;14,74;86462;497,80;13,18;96,81;29371;3022,17
Ibiúna;22,17;12,37;71157;1058,08;15,45;54,54;11598;946,74
Avaré;19,85;14,09;82878;1213,06;14,53;96,84;21392;1416,98
Valinhos;17,34;13,35;106569;148,59;12,00;92,43;42746;4123,32
Tupã;17,07;18,57;63475;628,51;10,75;97,83;16176;1337,76
Ubatuba;21,52;11,01;78693;723,83;13,46;27,65;16219;1075,56
Peruíbe;23,34;15,86;59698;324,14;16,03;38,00;8797;804,89
Ribeirão Pires;19,02;12,94;112994;99,12;12,98;80,70;24288;2157,28
Guapiara;23,33;13,64;18012;408,29;10,58;83,08;2020;195,88
Barra do Chapéu;24,16;12,59;5241;405,68;14,46;65,62;641;44,40
Cunha;19,71;15,33;21876;1407,32;10,52;90,02;1921;163,27
Itapira;16,71;15,71;68492;518,39;11,15;97,75;22848;2138,70
São José do Rio Pardo;17,91;16,29;51885;419,19;13,10;97,75;15204;1193,58
Capão Bonito;23,05;12,79;46183;1640,23;15,51;95,93;7661;693,84
Itaóca;21,31;16,34;3228;183,02;14,99;41,88;329;27,76
Ribeirão Branco;25,43;10,80;18292;697,50;14,36;86,11;3409;197,71
Itariri;24,59;12,32;15455;273,67;9,75;49,26;1359;128,47
Tatuí;21,09;12,73;107202;523,48;15,14;94,10;32191;2592,39
Iguape;21,93;16,45;28829;1977,95;11,46;73,10;2638;324,77
Paraibuna;21,26;14,22;17385;809,58;12,30;86,69;2695;201,24
Lins;17,92;15,50;71385;571,54;13,08;98,71;27261;2352,63
Taquaritinga;19,38;15,10;53972;593,58;11,92;98,90;10851;859,80
Batatais;18,46;15,23;56429;849,53;11,50;99,28;17043;1183,15
Jales;16,28;17,74;47005;368,52;11,23;98,89;11083;963,23
Juquiá;23,23;14,53;19256;812,75;16,54;72,62;2397;233,44
Natividade da Serra;19,34;19,01;6680;833,37;9,73;97,92;704;56,81
Caçapava;20,33;12,94;84676;369,03;14,64;92,15;22263;2455,29
Birigui;17,68;13,91;108599;530,92;12,69;99,27;37893;2035,19
